"hospital_id","name","role","area","address","latitude","longitude","ipet_status","distance_km","distance_method","travel_minutes","travel_method","overall_score","home_doctor_score","dachshund_score","emergency_score","google_rating","google_review_count","phone","google_maps_url","website_url"
"uehara","上原どうぶつ病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区菅生3-1-14","35.596058","139.553101","window_settlement","3.4","google_maps_driving_route","11","google_maps_driving_route","62","77","","","4.3","14","044-978-5260","https://www.google.com/maps/search/?api=1&query=35.596058%2C139.553101",""
"takada","タカダ動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区馬絹2-5-2","35.581768","139.594971","window_settlement","3.3","google_maps_driving_route","10","google_maps_driving_route","64","78","","61","4.2","30","044-852-6446","https://www.google.com/maps/search/?api=1&query=35.581768%2C139.594971",""
"yuimaru","ゆいまーる動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区東有馬3-5-28","35.57233","139.586899","window_settlement","5.7","google_maps_driving_route","15","google_maps_driving_route","61","75","","33","4.6","46","044-948-5462","https://www.google.com/maps/search/?api=1&query=35.572330%2C139.586899","https://www.yuimaruah.jp/"
"miyamaedaira","みやまえだいら動物病院","ホームドクター試行候補","川崎市宮前区","神奈川県川崎市宮前区宮前平1-4-142","35.584171","139.588074","window_settlement","3.4","google_maps_driving_route","11","google_maps_driving_route","71","84","","67","4.6","62","044-855-7061","https://www.google.com/maps/search/?api=1&query=35.584171%2C139.588074","https://miyamaedaira-ah.com/"
"root","ルート動物病院","近隣の整形・IVDD補完","川崎市宮前区","神奈川県川崎市宮前区宮崎6-8-7","35.590591","139.581665","window_settlement","2.6","google_maps_driving_route","8","google_maps_driving_route","70","80","63","67","4.1","44","044-863-5610","https://www.google.com/maps/search/?api=1&query=35.590591%2C139.581665","https://www.root-vc.com/"
"suzuki","鈴木ペットクリニック","最寄りホーム候補","川崎市宮前区","神奈川県川崎市宮前区神木本町2-4-1","35.601082","139.585907","window_settlement","0.28","google_maps_driving_route","2","google_maps_driving_route","70","81","","67","4.2","66","044-877-6745","https://www.google.com/maps/search/?api=1&query=35.601082%2C139.585907","https://www.suzuki-pc.com/"
"mullk","マルクペットクリニック","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区菅生1-9-28-102","35.600735","139.553284","window_settlement","3.7","google_maps_driving_route","11","google_maps_driving_route","67","80","","56","4.3","29","044-982-1190","https://www.google.com/maps/search/?api=1&query=35.600735%2C139.553284","https://mullkpc2017.com/"
"murayama","村山動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区水沢2-3-11","35.591618","139.545105","window_settlement","4.9","google_maps_driving_route","15","google_maps_driving_route","58","71","","33","4.2","15","044-977-8829","https://www.google.com/maps/search/?api=1&query=35.591618%2C139.545105","https://www.murayama-ah.com/"
"mominoki","かわさきもみの木動物病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区下作延3-3-1","35.596539","139.600769","window_settlement","1.8","google_maps_driving_route","5","google_maps_driving_route","63","79","","44","4.4","40","044-870-5055","https://www.google.com/maps/search/?api=1&query=35.596539%2C139.600769","https://www.1122mominoki.net/"
"rika","りかペットクリニック","一般診療候補","川崎市高津区","神奈川県川崎市高津区久地4-11-47","35.610554","139.595261","window_settlement","4.5","google_maps_driving_route","12","google_maps_driving_route","55","69","","33","3.6","25","044-813-6522","https://www.google.com/maps/search/?api=1&query=35.610554%2C139.595261","https://rika-pet.com/"
"tachibana","たちばなペットクリニック","一般診療候補","川崎市高津区","神奈川県川崎市高津区新作4-3-17","35.588024","139.618866","window_settlement","4","google_maps_driving_route","12","google_maps_driving_route","61","78","","44","4.2","50","044-571-1788","https://www.google.com/maps/search/?api=1&query=35.588024%2C139.618866",""
"kurata","くらた動物病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区二子5-3-6","35.602341","139.61763","window_settlement","4.3","google_maps_driving_route","14","google_maps_driving_route","56","68","","22","4.4","109","044-814-5521","https://www.google.com/maps/search/?api=1&query=35.602341%2C139.617630","https://kurata-vet.com/"
"tayama","田山獣医科病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区下作延1-7-1","35.601646","139.606827","window_settlement","2.3","google_maps_driving_route","10","google_maps_driving_route","71","84","","56","4.5","51","044-822-2872","https://www.google.com/maps/search/?api=1&query=35.601646%2C139.606827","https://tayama-vet.com/"
"mizonokuchi","溝の口犬猫病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区溝口4-18-30","35.604385","139.614517","window_settlement","3.6","google_maps_driving_route","11","google_maps_driving_route","60","75","","44","4.2","91","044-819-7927","https://www.google.com/maps/search/?api=1&query=35.604385%2C139.614517","https://mizonokuchi-ah.com/"
"watanabe","ワタナベ獣医科病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区下作延3-14-37","35.59259","139.600555","window_settlement","2.4","google_maps_driving_route","9","google_maps_driving_route","60","79","","33","4.3","33","044-877-6106","https://www.google.com/maps/search/?api=1&query=35.592590%2C139.600555","https://jakobi5200.wixsite.com/watanabe-vet"
"jarmec-kawasaki","日本動物高度医療センター 川崎本院","高度医療・二次診療","川崎市高津区","神奈川県川崎市高津区久地2-5-8","35.612053","139.61171","needs_confirmation","4.6","google_maps_driving_route","14","google_maps_driving_route","72","67","96","44","4.1","404","044-850-1280","https://www.google.com/maps/search/?api=1&query=35.612053%2C139.611710","https://jarmec.jp/kawasaki/"
"kawasaki-night","川崎市獣医師会 夜間動物救急センター","夜間初期救急","川崎市高津区","神奈川県川崎市高津区久地2-5-8","35.612053","139.61171","needs_confirmation","4.6","google_maps_driving_route","14","google_maps_driving_route","51","74","8","56","4.2","60","044-811-9950","https://www.google.com/maps/search/?api=1&query=35.612053%2C139.611710","https://kvma9950.com/"
